latitude,longitude,Salinity,Time,UUID
75.64848,63.77678,31.067,2016-07-30 19:56:48,1476aedf-6088-46d8-98a3-b8946f1ebfd5
75.64848,63.77676,30.9845,2016-07-30 19:57:15,ebd8a777-5a10-4a46-972f-64bfd0682590
75.64848,63.77672,30.7474,2016-07-30 19:57:42,dde30ddc-401d-4122-8240-c4f07badaebe
75.64846,63.77672,31.2182,2016-07-30 19:58:09,7acc418b-c54b-481e-abf8-9e72fa866e7c
75.64846,63.77678,30.8945,2016-07-30 19:58:36,29e8f6a4-5c3e-47c3-8882-c216291b7a56
75.64846,63.77668,31.3427,2016-07-30 19:59:03,08caa862-11ef-4ca7-ab51-f923b1fee1d1
75.64848,63.77666,31.1165,2016-07-30 19:59:30,44eb79ea-1392-43e4-ac2f-2c59c8dd2ebc
75.6485,63.77684,30.09,2016-07-30 19:59:57,4d1c9980-2559-484d-9002-efcadccd0e48
75.64848,63.77696,31.3605,2016-07-30 20:00:24,0716ba72-b79c-420c-ac4b-dd5834813d12
75.64848,63.77692,31.196,2016-07-30 20:00:51,cea1861d-68ff-4e9b-8420-b24f6af4fb5e
75.64848,63.77696,29.7565,2016-07-30 20:01:18,168e2e32-3d74-4314-9e29-c37b30dfbe9c
75.64852,63.77684,31.0956,2016-07-30 20:01:45,4689e5ae-0f92-4f70-8dd0-8c7e6cdf4314
75.6485,63.7769,31.2856,2016-07-30 20:02:12,e122eb97-b4b8-4690-af78-73b78ed96278
75.6485,63.77686,31.0809,2016-07-30 20:02:39,e26fd197-3f5a-4533-8578-d3f59b20e76d
75.6485,63.77684,31.146,2016-07-30 20:03:06,60c8c0ff-8ad0-4627-aeef-27b25e4ac69b
75.6485,63.7768,31.145,2016-07-30 20:03:33,28e2ad44-b74d-4e19-9509-c533fb1d6a4e
75.6485,63.77678,28.9142,2016-07-30 20:04:00,ac32995d-c1af-413b-a55b-5d06d08fe57c
75.6485,63.7768,30.915,2016-07-30 20:04:27,74176c12-43e1-421e-932b-1aa16b39ba33
75.6485,63.77692,30.7798,2016-07-30 20:05:48,c73ac598-de07-4cf8-8dfa-7c473001cb19
75.64852,63.77702,30.9638,2016-07-30 20:06:15,d53acecb-c31d-4fe8-93c1-c3aec22bf1b2
75.64852,63.77692,30.5631,2016-07-30 20:06:42,32c39ad0-ebc2-42b8-89d9-ca792ec12878
75.64852,63.7769,31.1314,2016-07-30 20:07:09,361bfd6f-0622-44fe-8cb8-0eecf6f92db2
75.64852,63.77682,30.7971,2016-07-30 20:07:36,1bc696bd-baff-43e3-8a4e-04dd043049c4
75.64852,63.77676,30.9258,2016-07-30 20:08:03,fc674f6c-3d37-4f54-b568-18d3674c909e
75.6485,63.77678,30.5368,2016-07-30 20:08:30,3b68ccbb-447e-46d0-9b13-4da50c6548ad
75.6485,63.77686,30.5183,2016-07-30 20:08:57,e5405c9c-138e-4e3e-9452-4e7f740f4e42
75.64852,63.77688,31.2967,2016-07-30 20:09:24,ea36f342-361c-4706-ba96-f4705ae5eae8
75.64852,63.77686,31.1201,2016-07-30 20:09:51,62264d7b-6605-4ab8-90b8-42aab36b1eea
75.64852,63.77688,31.1339,2016-07-30 20:10:45,e878dc92-e138-4541-a291-22777f2924da
75.6485,63.77684,29.5412,2016-07-30 20:11:39,085d2835-204b-418a-9cb6-05e2b5c146e4
75.6485,63.77688,31.1057,2016-07-30 20:12:06,cda87db4-da33-4f30-b7d7-f5c53a3d99b4
75.64848,63.77696,29.7213,2016-07-30 20:12:33,8c219e5e-1c02-4128-957f-fe52499f2ecc
75.6485,63.777,31.0412,2016-07-30 20:13:00,706896ed-8628-4564-9a1b-80d5b52f1114
75.64848,63.77704,29.4414,2016-07-30 20:13:27,0c98610e-c6ce-4fa8-8590-cb4312e4d51d
75.6485,63.77696,30.968,2016-07-30 20:13:54,1270be2b-9ca0-4f30-b1b3-0afa40e4943f
75.64848,63.77692,31.2334,2016-07-30 20:14:48,3d6d67d4-59bb-454a-84c6-13736f233206
75.64848,63.7769,31.2895,2016-07-30 20:15:15,2c2560a3-2e44-4bba-9253-6cc5b91e2406
75.64848,63.77688,30.9244,2016-07-30 20:15:42,1c2b32d8-870a-40ae-a50a-0062a25d8cc2
75.6485,63.77688,31.2525,2016-07-30 20:16:09,7f4752ac-e8c3-4117-9164-99c71deca602
75.6485,63.77692,30.279,2016-07-30 20:16:36,6e303f42-abfe-4842-b837-7499ab37942d
75.6485,63.77694,30.3781,2016-07-30 20:17:03,213f965e-1591-4576-b0a8-3e1bead336af
75.6485,63.77696,29.907,2016-07-30 20:17:30,00fd6923-5dcb-4630-8c85-a92944b6db9a
75.6485,63.7769,30.8115,2016-07-30 20:17:57,2cf0a230-fc27-4ff1-8f40-6f4eadc7c64f
75.6485,63.77686,31.189,2016-07-30 20:18:24,e71fceb2-c52d-41bc-8190-31f4430a2837
75.6485,63.77684,31.1855,2016-07-30 20:18:51,e6a76af8-2e34-43dd-927d-64f2ddf28528
75.6485,63.77688,31.028,2016-07-30 20:19:18,1c1d0a9e-7c4c-4576-9563-31d48b5961f6
75.64848,63.77694,31.4424,2016-07-30 20:19:45,65a45902-fba6-4e5d-834b-05e03b0690ce
75.64848,63.7769,31.1954,2016-07-30 20:20:12,2655b78a-f5c0-46eb-bf7a-c8d6cb33a329
75.64848,63.77686,31.1916,2016-07-30 20:20:39,2f797b60-2b1e-48f7-ae39-6657b8ecf922
75.64848,63.77684,30.3308,2016-07-30 20:21:06,25157b1a-d315-44dd-84a8-96d825a540ea
75.64846,63.77684,31.2102,2016-07-30 20:21:33,c635e797-c8a1-4d70-9077-0ff6d62dbbbc
75.64846,63.77678,27.7469,2016-07-30 20:22:00,7274d27b-3f65-4782-8adc-e19733c68f16
75.64848,63.77682,31.3975,2016-07-30 20:22:27,cb07733e-0945-4829-aabb-4a4e379cead9
75.64846,63.77684,31.4277,2016-07-30 20:22:54,39ad8e54-ad97-45fa-ba55-fc2d0da42faf
75.64848,63.77678,31.0693,2016-07-30 20:23:21,025c5ba6-bbfe-4d4c-bab0-8ec4ef2dd38e
75.64846,63.77698,31.4956,2016-07-30 20:23:48,70084b7c-5019-420c-939a-87dfb3d1f168
75.64846,63.77694,30.5226,2016-07-30 20:24:42,5ef0a125-33ba-4fcc-909a-3a9375a61318
75.64846,63.77688,30.5233,2016-07-30 20:25:09,720d9084-9ce9-4941-8603-673b806f99b6
75.64846,63.7769,31.2903,2016-07-30 20:25:36,10200a7c-790b-429a-89a1-8e5c907bac72
75.64848,63.77694,31.4215,2016-07-30 20:26:03,af1e8af4-4820-4a99-ba4a-c11941146ee7
75.64848,63.777,29.9234,2016-07-30 20:26:30,54b24a3f-4113-45fa-a13c-219a7708194f
75.64848,63.77692,29.9554,2016-07-30 20:26:57,f36bdd43-c8c8-48d6-b24f-ac6174ea5994
75.64846,63.77704,31.0984,2016-07-30 20:27:24,1fed0718-341c-48a9-84ff-fda229657b1f
75.64848,63.77698,31.1641,2016-07-30 20:27:51,0592cf36-5d56-4d76-bb3f-2af68486e454
75.64846,63.77714,30.9816,2016-07-30 20:28:18,c2c8bae0-8e79-47a9-a1e5-ae1d4382cfd7
75.64846,63.77724,30.9086,2016-07-30 20:28:45,188fdb3e-3ca6-49e9-b7be-3f6112872924
75.64846,63.77716,31.3008,2016-07-30 20:29:12,fe31f023-2957-41f9-95e7-10857f5bf6b9
75.64846,63.7771,31.1536,2016-07-30 20:29:39,536667ce-1edc-4305-be80-80c141f4a76c
75.64848,63.77696,31.2122,2016-07-30 20:30:06,131b7ed8-6805-4303-812c-c28a77a9b857
75.64848,63.77706,31.1767,2016-07-30 20:30:33,74e8f869-fb0f-4edb-ac9b-9a8fcd4ce6fc
75.64846,63.77712,31.1037,2016-07-30 20:31:00,242fc7c1-f7bf-48e0-8b9c-7defa0d953c0
75.64846,63.77698,31.1858,2016-07-30 20:31:27,6c269f9f-3fdf-42aa-8b09-d330feb904ee
75.64846,63.77716,31.3575,2016-07-30 20:31:54,cc5940a4-142d-4091-a651-1448130c351c
75.64848,63.77714,30.4808,2016-07-30 20:32:21,f67b5954-af49-458a-bcfd-e8342b515da1
75.64848,63.77702,31.3706,2016-07-30 20:32:48,e4ed0653-16c2-4080-8593-fa170502ae53
75.64846,63.77698,30.9401,2016-07-30 20:33:15,97eba0d1-33ff-4463-b13b-7fb0e01efd33
75.64844,63.7771,31.2628,2016-07-30 20:33:42,25cdcc27-cee8-44b8-a1f8-ea3fc73d741d
75.64846,63.77706,31.28,2016-07-30 20:34:09,4e5184d7-99fc-40eb-aefb-d2c3ed9c14a7
75.64846,63.77698,30.8327,2016-07-30 20:34:36,1dda8213-3111-4a98-9255-b90c91d6d540
75.64844,63.7771,30.8426,2016-07-30 20:35:03,f7122e75-483e-41b5-88d7-c08064bbe679
75.64844,63.77716,30.8159,2016-07-30 20:35:30,3b8ef437-89ba-4142-9a97-918e5f9dc109
75.64846,63.77712,31.2251,2016-07-30 20:35:57,ba088bc5-6383-40ca-ba87-8e0ddb9e4254
75.64846,63.77724,31.387,2016-07-30 20:36:24,893f7a22-819d-4348-9c58-ba095391f27e
75.64846,63.7772,31.2104,2016-07-30 20:37:44,8de7de5d-7c05-4e22-9af5-29ff79732a42
75.64846,63.77706,31.5466,2016-07-30 20:38:12,ce2614ac-5ea8-49c2-aa5c-d27cff7ae001
75.64846,63.77728,31.3308,2016-07-30 20:38:39,5a9384ce-fc86-40a8-bec2-90a1be5c1669
75.64844,63.7774,31.3453,2016-07-30 20:39:05,03de5864-3f95-4c33-a385-730e253182f0
75.64844,63.7773,30.6047,2016-07-30 20:39:32,6dd89dd7-078f-44c8-9cbe-830587483419
75.64842,63.77728,31.2726,2016-07-30 20:39:59,1d273997-8e9b-4c86-be55-616f8ed96d22
75.64842,63.77726,31.2298,2016-07-30 20:40:26,2dd472b5-1490-40df-8a4d-a3abbf64b00e
75.64842,63.77728,31.3967,2016-07-30 20:40:53,ade3706c-68b7-42a4-b367-20847fbf319e
75.64844,63.7773,30.9388,2016-07-30 20:41:47,862a02ab-a629-4ed5-96cb-595183b98b28
75.6484,63.77734,31.2955,2016-07-30 20:42:14,df3b7643-c174-4bc2-8d4c-e52ef1d081c9
75.6484,63.7773,31.1574,2016-07-30 20:42:41,6931e6b2-f269-4c36-9e1f-edc6d69f5982
75.6484,63.77722,30.8298,2016-07-30 20:43:08,723ffb46-0b19-4d50-91e3-4c070fbca4f2
75.64842,63.77718,31.3674,2016-07-30 20:43:35,5692aa8c-a3ac-48f5-a549-b865c19ac38c
75.64842,63.77712,31.4299,2016-07-30 20:44:02,df3096f3-bb05-4961-a458-6fb7ca29af92
75.64844,63.77706,31.6987,2016-07-30 20:44:29,af8d926b-cdde-49b8-8f8a-9ebcf319b87b
75.64844,63.7771,31.4244,2016-07-30 20:45:23,61559225-478b-481f-9abd-6c521fa738da
75.64844,63.77722,26.1444,2016-07-30 20:45:50,8290461e-54b7-49a4-90c5-fa716c3ce135
75.64842,63.77726,30.4704,2016-07-30 20:46:17,7f5c99e1-c289-4817-82e4-91cca825ff69
75.64842,63.77732,31.1362,2016-07-30 20:47:11,0683fa0d-fbf1-4742-98b7-d822894a79b9
75.64844,63.7773,31.1932,2016-07-30 20:47:38,c0e92cdc-79f3-41e1-b7aa-4dbe5f40ce2d
75.64844,63.7772,30.9442,2016-07-30 20:48:05,79cfa536-aa50-4ccc-8f05-74fdd2f26eb6
75.64844,63.77712,31.3039,2016-07-30 20:48:32,10b8a06b-f90e-4eed-a451-af0a75e91385
75.64846,63.77738,31.0249,2016-07-30 20:48:59,f6b3a9c2-1e59-4839-becb-5ec4c776217a
75.64848,63.77732,30.3018,2016-07-30 20:49:26,81b0daa6-7f0e-4cc6-a17b-ba6fb4178f40
75.64846,63.77724,31.2468,2016-07-30 20:49:53,babb8c3c-b329-4a14-a739-04f7a7197e54
75.64848,63.77718,30.7708,2016-07-30 20:50:20,abca6d35-1405-4e8f-923b-a349ea5da7f8
75.64848,63.77716,31.1529,2016-07-30 20:50:47,12cafb9b-e241-406b-bfca-d433b08d77cf
75.64848,63.77714,31.3981,2016-07-30 20:51:14,a440152f-f675-4767-8030-2819f097c982
75.64848,63.77718,31.6038,2016-07-30 20:51:41,76c3f3f5-d461-4820-9c83-7d20be6be440
75.64848,63.77716,31.5125,2016-07-30 20:52:08,28bd6022-6798-429d-854b-b2035a38a066
75.64848,63.77712,31.4724,2016-07-30 20:52:35,87364cb2-21cc-4887-b49f-b8729e705655
75.64848,63.77704,30.7674,2016-07-30 20:53:02,d7352ce3-3dd5-4cf8-84a3-81b832bf5f6d
75.6485,63.77702,31.5723,2016-07-30 20:53:29,3281c824-ad35-4188-b57a-18bc26c58dcb
75.64848,63.77704,31.6234,2016-07-30 20:53:56,edf9fac2-4098-48a6-93d7-986d44e66798
75.64846,63.77708,30.4697,2016-07-30 20:54:23,5d8c4571-d2ef-4ee0-a066-1258bafa98e6
75.64846,63.7771,31.2638,2016-07-30 20:54:50,49853a46-1c8c-4be4-b396-dac33a4e40a4
75.64846,63.77708,30.7902,2016-07-30 20:55:17,0d03cabe-8437-4451-9c99-c79bbe702401
75.64846,63.77706,30.9981,2016-07-30 20:56:11,4508ec27-7b88-4592-9f9b-dfe0ff82de01
75.64846,63.77714,25.8055,2016-07-30 20:56:38,49f47e6d-9000-4bdd-95f8-c6ad0f724574
